name,genre
O Poderoso Chefão,"['Policial', 'Drama']"
A Lista de Schindler,"['Histórico', 'Guerra']"
Um Sonho de Liberdade,['Drama']
O Rei Leão,"['Animação', 'Aventura']"
O Senhor dos Anéis - O Retorno do Rei,"['Fantasia', 'Aventura']"
O Poderoso Chefão 2,"['Policial', 'Drama']"
Forrest Gump - O Contador de Histórias,"['Romance', 'Drama', 'Comédia']"
A Vida é Bela,"['Drama', 'Comédia']"
À Espera de um Milagre,"['Fantasia', 'Policial']"
Vingadores: Ultimato,"['Ação', 'Fantasia', 'Aventura']"
Vingadores: Guerra Infinita,"['Aventura', 'Ação']"
O Império Contra-ataca,"['Ficção científica', 'Aventura']"
Batman - O Cavaleiro Das Trevas,"['Ação', 'Suspense']"
Histórias Cruzadas,['Drama']
O Senhor dos Anéis - A Sociedade do Anel,"['Fantasia', 'Aventura']"
De Volta para o Futuro,"['Ficção científica', 'Aventura']"
Harry Potter e as Relíquias da Morte - Parte 2,"['Fantasia', 'Aventura']"
Intocáveis,['Comédia']
Sempre ao Seu Lado,['Drama']
O Senhor dos Anéis - As Duas Torres,"['Fantasia', 'Aventura']"
O Poderoso Chefão,"['Policial', 'Drama']"
A Lista de Schindler,"['Histórico', 'Guerra']"
Um Sonho de Liberdade,['Drama']
O Rei Leão,"['Animação', 'Aventura']"
O Senhor dos Anéis - O Retorno do Rei,"['Fantasia', 'Aventura']"
O Poderoso Chefão 2,"['Policial', 'Drama']"
Forrest Gump - O Contador de Histórias,"['Romance', 'Drama', 'Comédia']"
A Vida é Bela,"['Drama', 'Comédia']"
À Espera de um Milagre,"['Fantasia', 'Policial']"
Vingadores: Ultimato,"['Ação', 'Fantasia', 'Aventura']"
Vingadores: Guerra Infinita,"['Aventura', 'Ação']"
O Império Contra-ataca,"['Ficção científica', 'Aventura']"
Batman - O Cavaleiro Das Trevas,"['Ação', 'Suspense']"
Histórias Cruzadas,['Drama']
O Senhor dos Anéis - A Sociedade do Anel,"['Fantasia', 'Aventura']"
De Volta para o Futuro,"['Ficção científica', 'Aventura']"
Harry Potter e as Relíquias da Morte - Parte 2,"['Fantasia', 'Aventura']"
Intocáveis,['Comédia']
Sempre ao Seu Lado,['Drama']
O Senhor dos Anéis - As Duas Torres,"['Fantasia', 'Aventura']"
O Poderoso Chefão,"['Policial', 'Drama']"
A Lista de Schindler,"['Histórico', 'Guerra']"
Um Sonho de Liberdade,['Drama']
O Rei Leão,"['Animação', 'Aventura']"
O Senhor dos Anéis - O Retorno do Rei,"['Fantasia', 'Aventura']"
O Poderoso Chefão 2,"['Policial', 'Drama']"
Forrest Gump - O Contador de Histórias,"['Romance', 'Drama', 'Comédia']"
A Vida é Bela,"['Drama', 'Comédia']"
À Espera de um Milagre,"['Fantasia', 'Policial']"
Vingadores: Ultimato,"['Ação', 'Fantasia', 'Aventura']"
Vingadores: Guerra Infinita,"['Aventura', 'Ação']"
O Império Contra-ataca,"['Ficção científica', 'Aventura']"
Batman - O Cavaleiro Das Trevas,"['Ação', 'Suspense']"
Histórias Cruzadas,['Drama']
O Senhor dos Anéis - A Sociedade do Anel,"['Fantasia', 'Aventura']"
De Volta para o Futuro,"['Ficção científica', 'Aventura']"
Harry Potter e as Relíquias da Morte - Parte 2,"['Fantasia', 'Aventura']"
Intocáveis,['Comédia']
Sempre ao Seu Lado,['Drama']
O Senhor dos Anéis - As Duas Torres,"['Fantasia', 'Aventura']"
O Poderoso Chefão,"['Policial', 'Drama']"
A Lista de Schindler,"['Histórico', 'Guerra']"
Um Sonho de Liberdade,['Drama']
O Rei Leão,"['Animação', 'Aventura']"
O Senhor dos Anéis - O Retorno do Rei,"['Fantasia', 'Aventura']"
O Poderoso Chefão 2,"['Policial', 'Drama']"
Forrest Gump - O Contador de Histórias,"['Romance', 'Drama', 'Comédia']"
